rank,item_id,outlet,type,language,title,url,published_at,R,S,D,I,r_people,signal_mult,logos,ethos,pathos,d_raw,topics,prompt_version,reach_flag,content_basis,content_access,word_count,fetch_method,r_basis,justification
165,48bdbc118e700a77,Fox Business,cable,en,"DOJ seizes $560K in cryptocurrency allegedly intended for Hamas, disrupts online recruitment network",https://www.foxbusiness.com/politics/doj-seizes-560k-cryptocurrency-allegedly-intended-hamas-disrupts-online-recruitment-network,2026-09-02T00:00:00+00:00,0.00055725,0.087000,0.500000,0.00002424,146000.000000,,5,6,4,15,foreign_policy_wars:0.70; crime:0.20; ai_technology:0.10,score_v2,self_reported,full_text,open,491,homepage_fetch,programme average viewers x TV_SEGMENT_SHARE (US-only by construction); flat across the outlet's items (no per-item signal),"Reports factual DOJ operation details with dates, amounts, and quotes from officials, but relies mainly on official statements without independent verification. Ethos derives from DOJ/FBI institutional authority and named officials. Pathos moderate via combative rhetoric ('vise on Hamas,' 'barbaric attacks')."
166,753514c7c1f9597d,The Guardian US,print_digital,en,Trump’s threat against an NBC journalist is an attack on reality | Margaret Sullivan,https://www.theguardian.com/commentisfree/2026/sep/02/trump-nbc-fcc-kristin-welker,2026-09-02T11:00:22+00:00,0.00034098,0.124500,0.566667,0.00002406,89337.500000,,5,6,6,17,democracy_elections:0.40; government_leadership:0.35; race_relations:0.15; other:0.10,score_v2,ok,full_text,open,769,page_fetch,monthly visits / DIGITAL_ITEMS_PER_MONTH (already US-only (Semrush country split)); a visit is not a read; flat across the outlet's items (no per-item signal),"Sullivan cites specific incidents, FCC precedent, and named journalists to argue Trump's threat is press suppression. As a Guardian columnist writing on media and politics, she has professional standing. Language is charged ('freak-out', 'shameful', 'vicious'), conveying moral urgency and outrage throughout."
167,559e56c39e34fee5,Verdict with Ted Cruz,podcast,en,the-47-morning-update-with-ben-ferguson / 8-27-26,https://omny.fm/shows/the-47-morning-update-with-ben-ferguson/8-27-26,2026-08-27T08:15:00+00:00,0.00035191,0.133500,0.500000,0.00002349,92200.000000,,3,6,6,15,immigration:0.35; government_leadership:0.25; foreign_policy_wars:0.20; democracy_elections:0.20,score_v2,ok,full_text,open,303,rss_fulltext,subscribers x PODCAST_EPISODE_VIEW_RATE x (1 + PODCAST_AUDIO_MULTIPLE) (UNADJUSTED: no public country split for this platform); flat across the outlet's items (no per-item signal),"A conservative talk-radio host critiques Democratic figures' comments on leadership, Zelensky, and immigration, offering opinion and framing rather than evidence. Ben Ferguson's standing with his partisan audience gives moderate ethos; pathos comes from charged framing of national identity and safety; logos is thin, mostly assertion."
168,087d149b6f380783,Associated Press,print_digital,en,What to know about a reported US airstrike that hit a wedding in Iran,https://apnews.com/article/iran-us-war-strike-wedding-casualties-0b8dbb60863eb28e3dde59ff59e88735,2026-09-02T00:00:00+00:00,0.00029241,0.120000,0.666667,0.00002339,76612.500000,,8,6,6,20,foreign_policy_wars:1.00,score_v2,ok,full_text,open,852,homepage_fetch,monthly visits / DIGITAL_ITEMS_PER_MONTH (already US-only (Semrush country split)); a visit is not a read; flat across the outlet's items (no per-item signal),"AP news report with multiple sourced details: state media, rights group, eyewitness accounts, weapons expert analysis of fragments, and military spokesman's response. Institutional AP authority, no personal ethos figure. Vivid wounded-victim descriptions and quotes add moderate emotional intensity amid largely factual reporting."
169,6481d41eccb3ff4f,The Guardian US,print_digital,en,‘Leon Black is hiding behind litigation’: outrage after billionaire sues Congress over subpoenas for Epstein investigation – live,https://www.theguardian.com/us-news/live/2026/sep/03/donald-trump-immigration-tariffs-canada-trade-iran-jd-vance-latest-news-updates,2026-09-03T17:57:54+00:00,0.00034098,0.146500,0.466667,0.00002331,89337.500000,,3,6,5,14,government_leadership:0.30; foreign_policy_wars:0.25; democracy_elections:0.20; immigration:0.10; inflation_cost_of_living:0.10; ai_technology:0.05,score_v2,ok,full_text,open,2691,page_fetch,monthly visits / DIGITAL_ITEMS_PER_MONTH (already US-only (Semrush country split)); a visit is not a read; flat across the outlet's items (no per-item signal),"A live-blog roundup of multiple stories (Vance briefing, Lutnick gaffes, Trump posts, Epstein subpoenas, voting litigation, AI legislation). Little sustained argument, mostly quotes and claims; speakers carry institutional/political authority; emotionally charged language ('treasonous SCUM', 'heartsick') gives moderate pathos."
170,c816b9b4d8b4bb19,The New York Times,print_digital,en,Trump Administration Asks Supreme Court to Allow Mail Voting Limits,https://www.nytimes.com/2026/09/03/us/politics/trump-supreme-court-mail-ballots.html,2026-09-03T22:24:09+00:00,0.00157548,0.088500,0.166667,0.00002324,412775.000000,,1,3,1,5,democracy_elections:0.85; government_leadership:0.15,score_v2,ok,summary_only,paywalled,38,rss_summary,monthly visits / DIGITAL_ITEMS_PER_MONTH (already US-only (Semrush country split)); a visit is not a read; flat across the outlet's items (no per-item signal),"Headline/summary only, describing a legal filing with no evidence, reasoning, or emotional language. No named individual speaker; institutional context (Trump administration, Supreme Court) gives minimal ethos."
171,9f1e1d5c382f2abb,New York Post,print_digital,en,House DOGE panel calls Mayor Bass to DC over alleged $1B homeless funds scandal,https://nypost.com/2026/09/03/us-news/karen-bass-called-to-testify-in-alleged-1b-la-homeless-fund-scandal/,2026-09-03T15:53:25+00:00,0.00032080,0.142000,0.466667,0.00002126,84050.000000,,6,5,3,14,poverty_homelessness:0.50; government_leadership:0.35; economy:0.15,score_v2,ok,full_text,open,734,page_fetch,monthly visits / DIGITAL_ITEMS_PER_MONTH (already US-only (Semrush country split)); a visit is not a read; flat across the outlet's items (no per-item signal),"Article cites documents, specific dollar figures, compensation data, HUD investigation findings, and a congressional letter—substantial evidentiary detail. Ethos rests on institutional sources (House committee, HUD IG) rather than a singular authoritative voice. Emotional tone is muted, mostly factual reporting with occasional pointed details like executive pay."
172,bb722eb47f8931eb,New York Post,print_digital,en,Oman quietly rejects Iran’s pitch for Strait of Hormuz fees — despite IRGC claim of deal,https://nypost.com/2026/09/03/world-news/oman-quietly-rejects-irans-pitch-for-strait-of-hormuz-fees-despite-irgc-claim-of-deal/,2026-09-03T16:37:01+00:00,0.00032080,0.139500,0.466667,0.00002088,84050.000000,,6,5,3,14,foreign_policy_wars:0.85; government_leadership:0.15,score_v2,ok,full_text,open,488,page_fetch,monthly visits / DIGITAL_ITEMS_PER_MONTH (already US-only (Semrush country split)); a visit is not a read; flat across the outlet's items (no per-item signal),"Reports sourced information, official statements, and named/unnamed sources about Oman-Iran-US dynamics; some evidence but reliant on unnamed officials. Quotes Trump's blunt threats add moderate emotional intensity; standard journalistic ethos without a strong personal authority figure."
173,f17f87a31af8acd0,New York Post,print_digital,en,Susan Collins breaks internet with quip about Dem challenger Troy Jackson’s romance with second cousin,https://nypost.com/2026/09/03/us-news/susan-collins-breaks-the-internet-with-quip-about-dem-challenger-troy-jacksons-romance-with-his-second-cousin/,2026-09-03T15:47:36+00:00,0.00032080,0.147500,0.433333,0.00002050,84050.000000,,2,6,5,13,government_leadership:0.45; democracy_elections:0.35; other:0.20,score_v2,ok,full_text,open,490,page_fetch,monthly visits / DIGITAL_ITEMS_PER_MONTH (already US-only (Semrush country split)); a visit is not a read; flat across the outlet's items (no per-item signal),"Gossipy political item centered on Collins' quip and reactions; little evidence beyond quotes and polling figures. Collins carries institutional/political authority as sitting senator, quoted directly. Pathos moderate via scandalous personal details and viral social reactions rather than sober policy debate."
174,154bcf8441871712,BBC News (US audience),print_digital,en,US sailors go shopping before hitting the bars in Thailand after 250-day voyage,https://www.bbc.co.uk/news/articles/cj9x2k8n3y1o?at_medium=RSS&at_campaign=rss,2026-09-03T11:33:09+00:00,0.00047772,0.113500,0.366667,0.00001988,125162.500000,,3,3,5,11,foreign_policy_wars:0.55; other:0.35; economy:0.10,score_v2,ok,full_text,open,814,page_fetch,monthly visits / DIGITAL_ITEMS_PER_MONTH (already US-only (Semrush country split)); a visit is not a read; flat across the outlet's items (no per-item signal),"Descriptive human-interest report with quotes from sailors, family, locals, and a naval official; light reasoning about deployment context and economic impact on Pattaya. No dominant authoritative voice; moderate emotional color via personal anecdotes about family and deployment stress."
175,9ebe1e6d7bb11a91,Associated Press,print_digital,en,Kennedy Center disassembles Blue sculpture from its grounds,https://apnews.com/article/kennedy-center-blue-sculpture-removed-trump-shapiro-c28c6b03fa412e2a70a324ba0476d031,2026-09-02T00:00:00+00:00,0.00029241,0.169000,0.400000,0.00001977,76612.500000,,3,4,5,12,government_leadership:0.55; other:0.45,score_v2,ok,full_text,open,408,homepage_fetch,monthly visits / DIGITAL_ITEMS_PER_MONTH (already US-only (Semrush country split)); a visit is not a read; flat across the outlet's items (no per-item signal),"Straightforward news report on removal of a sculpture, framed within Trump's reshaping of Washington institutions. Includes quotes from Kennedy Center and an activist expressing sadness, but mostly descriptive with modest emotional coloring and limited argumentation or authoritative sourcing beyond quoted parties."
176,87e231c8d658a6dc,The Charlie Kirk Show,podcast,en,U.N. Says World Will Exceed Global Warming Limit,https://salemnewschannel.com/watch/un-says-world-will-exceed-global-warming-limit-6a9818d275a744783cc73d83,2026-09-02T00:00:00+00:00,0.00448855,0.010000,0.433333,0.00001945,1176000.000000,,5,6,2,13,environment:1.00,score_v2,ok,full_text,open,359,transcript_page,subscribers x PODCAST_EPISODE_VIEW_RATE x (1 + PODCAST_AUDIO_MULTIPLE) (UNADJUSTED: no public country split for this platform); flat across the outlet's items (no per-item signal),"Straight news report citing U.N. Environment Programme data and scientific findings, with modest reasoning about strategy but no counterarguments. Ethos from UN institutional authority. Low emotional language, mostly factual/technical tone."
177,1438f107db96b9c1,BBC News (US audience),print_digital,en,Judge blocks another effort by Trump to limit birthright citizenship,https://www.bbc.co.uk/news/articles/c4g58p6j72no?at_medium=RSS&at_campaign=rss,2026-09-03T15:24:53+00:00,0.00047772,0.101000,0.400000,0.00001930,125162.500000,,6,4,2,12,immigration:0.55; democracy_elections:0.35; government_leadership:0.10,score_v2,ok,full_text,open,459,page_fetch,monthly visits / DIGITAL_ITEMS_PER_MONTH (already US-only (Semrush country split)); a visit is not a read; flat across the outlet's items (no per-item signal),"Straight news report citing judge's ruling, legal history, arguments from both sides, and a White House rebuttal quote. Factual, restrained tone; no named byline authority beyond BBC/CBS attribution; minimal emotional language beyond 'activist judge' quote."
178,c35174c749401c6c,Verdict with Ted Cruz,podcast,en,verdict-with-ted-cruz-1 / 8-28-26,https://omny.fm/shows/verdict-with-ted-cruz-1/8-28-26,2026-08-28T07:40:00+00:00,0.00035191,0.096500,0.566667,0.00001924,92200.000000,,5,8,4,17,democracy_elections:0.50; government_leadership:0.20; race_relations:0.15; other:0.15,score_v2,ok,full_text,open,331,rss_fulltext,subscribers x PODCAST_EPISODE_VIEW_RATE x (1 + PODCAST_AUDIO_MULTIPLE) (UNADJUSTED: no public country split for this platform); flat across the outlet's items (no per-item signal),"A biographical/promotional discussion by Senator Cruz about his book on Justice Thomas, drawing on interviews and historical detail (some reasoning/evidence), delivered with Cruz's high standing among his political audience, and mild emotional coloring around Thomas's life story and confirmation battle."
179,e12eecc99a88cc9e,Forbes,print_digital,en,Modernizing Work Opportunity Tax Credit Admin To Maximize Outcomes,https://www.forbes.com/councils/forbesbusinesscouncil/2026/09/02/modernizing-work-opportunity-tax-credit-administration-to-maximize-workforce-outcomes/,2026-09-02T14:45:00+00:00,0.00022481,0.212000,0.400000,0.00001906,58900.000000,,6,5,1,12,economy:0.70; government_leadership:0.20; ai_technology:0.10,score_v2,ok,full_text,open,955,page_fetch,monthly visits / DIGITAL_ITEMS_PER_MONTH (already US-only (Semrush country split)); a visit is not a read; flat across the outlet's items (no per-item signal),"Practical, detailed policy/process argument with specifics on legislative status and administrative best practices, written by an industry expert. Little emotional appeal; authority is professional/institutional rather than personally charismatic; audience is business leaders via Forbes Council platform."
180,c8891999b1f579d2,Forbes,print_digital,en,How Employee Retention Influences Revenue Growth,https://www.forbes.com/councils/forbesbusinesscouncil/2026/09/03/how-employee-retention-influences-revenue-growth/,2026-09-03T14:15:00+00:00,0.00022481,0.206000,0.400000,0.00001852,58900.000000,,6,4,2,12,economy:0.85; other:0.15,score_v2,ok,full_text,open,1021,page_fetch,monthly visits / DIGITAL_ITEMS_PER_MONTH (already US-only (Semrush country split)); a visit is not a read; flat across the outlet's items (no per-item signal),"Business advice column with reasoned claims, a Gallup statistic, and causal argument linking retention to revenue, but one-sided and thin on counterevidence. Author is a CEO contributor to Forbes Council, moderate niche authority. Tone is measured, low emotional intensity."
181,f47128e8e028a5e4,New York Post,print_digital,en,Kamala Harris brutally snubbed by Dems in battleground races as she plots major campaign: ‘Bad idea’,https://nypost.com/2026/09/03/us-news/kamala-harris-snubbed-by-democrats-in-battleground-states/,2026-09-03T18:05:55+00:00,0.00032080,0.156000,0.366667,0.00001835,84050.000000,,3,4,4,11,government_leadership:0.50; democracy_elections:0.40; other:0.10,score_v2,ok,full_text,open,588,page_fetch,monthly visits / DIGITAL_ITEMS_PER_MONTH (already US-only (Semrush country split)); a visit is not a read; flat across the outlet's items (no per-item signal),"Article cites multiple named Democratic candidates' quotes rejecting Harris, plus a poll figure, giving modest evidentiary support. No personal authority beyond reported quotes and journalistic framing. Some pathos via loaded words like 'brutally snubbed' and 'curse.'"
182,9de50da05175c4e6,NPR (npr.org),print_digital,en,Inside the failed mission to eliminate FEMA,https://www.npr.org/2026/09/03/nx-s1-5943052/fema-trump-flood-wildfire-hurricane-disaster,2026-09-03T09:00:00+00:00,0.00019590,0.185500,0.500000,0.00001817,51325.000000,,7,6,2,15,government_leadership:0.65; other:0.20; democracy_elections:0.15,score_v2,ok,full_text,open,1394,page_fetch,monthly visits / DIGITAL_ITEMS_PER_MONTH (already US-only (Semrush country split)); a visit is not a read; flat across the outlet's items (no per-item signal),"NPR investigative piece with multiple named sources (Richardson, Criswell, Rumbach), documents, court cases, GAO report, and a book excerpt. Balanced reporting with institutional backing but low emotional language; focuses on policy detail and internal bureaucratic maneuvering."
183,f1c6dd5724cc725c,Verdict with Ted Cruz,podcast,en,the-47-morning-update-with-ben-ferguson / 9-01-26,https://omny.fm/shows/the-47-morning-update-with-ben-ferguson/9-01-26,2026-09-01T08:15:00+00:00,0.00035191,0.119000,0.433333,0.00001815,92200.000000,,5,6,2,13,democracy_elections:0.45; foreign_policy_wars:0.35; government_leadership:0.20,score_v2,ok,full_text,open,324,rss_fulltext,subscribers x PODCAST_EPISODE_VIEW_RATE x (1 + PODCAST_AUDIO_MULTIPLE) (UNADJUSTED: no public country split for this platform); flat across the outlet's items (no per-item signal),"Ben Ferguson explains a Supreme Court ruling on standing and a Venezuela energy deal with some factual breakdown, but little sourced evidence or opposing views. As a recognized conservative host with an established audience, his ethos is solid; emotional tone is minimal, mostly explanatory."
184,1dfaabb97b3ce41c,New York Post,print_digital,en,House GOP bill would bar food stamp recipients from using their benefits at restaurants,https://nypost.com/2026/09/03/us-news/house-gop-bill-would-bar-food-stamp-recipients-from-using-their-benefits-at-restaurants/,2026-09-03T14:08:29+00:00,0.00032080,0.141000,0.400000,0.00001809,84050.000000,,4,5,3,12,poverty_homelessness:0.50; government_leadership:0.30; economy:0.20,score_v2,ok,full_text,open,431,page_fetch,monthly visits / DIGITAL_ITEMS_PER_MONTH (already US-only (Semrush country split)); a visit is not a read; flat across the outlet's items (no per-item signal),"Article cites specific spending figures by state and legislative history, giving some evidentiary basis. Gill's quotes carry rhetorical framing ('SNAP out of it') but limited emotional intensity. Ethos moderate: named congressman with institutional backing, but limited broader public authority shown."
185,95753ab9860738f0,New York Post,print_digital,en,Billionaire Leon Black sues House Oversight Committee amid NDA fight in Jeffrey Epstein probe,https://nypost.com/2026/09/03/us-news/billionaire-leon-black-sues-house-oversight-committee-amid-nda-fight-in-jeffrey-epstein-probe/,2026-09-03T15:30:22+00:00,0.00032080,0.111500,0.500000,0.00001788,84050.000000,,5,6,4,15,democracy_elections:0.35; government_leadership:0.35; crime:0.30,score_v2,ok,full_text,open,606,page_fetch,monthly visits / DIGITAL_ITEMS_PER_MONTH (already US-only (Semrush country split)); a visit is not a read; flat across the outlet's items (no per-item signal),"Reports facts, quotes, and legal claims from named officials and lawyers, with background evidence (subpoenas, review findings, resignations). Named sources like Comer, Garcia, Estrich carry institutional authority. Moderate emotional charge via 'perverted financier,' 'destroy Mr. Black,' but largely factual reporting."
186,9a8c6a72f8d543c1,NPR (npr.org),print_digital,en,Political consultant on how the cost-of-living is affecting Trump's approval rating,https://www.npr.org/2026/09/02/nx-s1-5951679/political-consultant-on-how-the-cost-of-living-is-affecting-trumps-approval-rating,2026-09-02T08:41:54+00:00,0.00019590,0.178500,0.500000,0.00001748,51325.000000,,5,6,4,15,inflation_cost_of_living:0.40; government_leadership:0.35; democracy_elections:0.25,score_v2,ok,full_text,open,1175,page_fetch,monthly visits / DIGITAL_ITEMS_PER_MONTH (already US-only (Semrush country split)); a visit is not a read; flat across the outlet's items (no per-item signal),"Interview cites focus-group evidence, polling, and specific races (Texas, Georgia) to support claims, giving moderate logos. Longwell has recognized standing as a pollster/consultant, moderate ethos. Some charged language ('albatross', 'corruption') but mostly analytical tone, moderate pathos."
187,c75f5998b1b190a6,The Guardian US,print_digital,en,US House passes bill penalizing universities that participate in boycott of Israel,https://www.theguardian.com/us-news/2026/sep/03/israel-boycott-university-ban-bill,2026-09-03T16:15:49+00:00,0.00034098,0.108500,0.466667,0.00001727,89337.500000,,5,6,3,14,education:0.35; foreign_policy_wars:0.35; government_leadership:0.20; democracy_elections:0.10,score_v2,ok,full_text,open,465,page_fetch,monthly visits / DIGITAL_ITEMS_PER_MONTH (already US-only (Semrush country split)); a visit is not a read; flat across the outlet's items (no per-item signal),"Reports legislative facts, vote counts, and quotes from both sides with some reasoning about free speech vs antisemitism. Named officials (Walberg, Scott, Gottheimer) lend institutional authority. Emotional language is moderate, framed around discrimination and antisemitism concerns."
188,5a543daea7f7dbc9,The Washington Post,print_digital,en,Connecticut senator urges Democrats to speak up about fighting corporate power,https://www.washingtonpost.com/politics/2026/09/03/connecticut-senator-urges-democrats-speak-up-about-fighting-corporate-power/,2026-09-03T20:45:00+00:00,0.00021870,0.236000,0.333333,0.00001720,57300.000000,,1,6,3,10,economy:0.70; government_leadership:0.30,score_v2,ok,summary_only,paywalled,40,rss_summary,monthly visits / DIGITAL_ITEMS_PER_MONTH (already US-only (Semrush country split)); a visit is not a read; flat across the outlet's items (no per-item signal),"Only a headline/summary; no evidence or argument given, just an assertion attributed to Senator Murphy. His standing as a sitting senator gives moderate ethos with Democratic audiences. Some mild populist framing ('ultrarich') suggests light emotional charge, but text is too thin for strong pathos or logos."
189,b1c59589d1058356,New York Post,print_digital,en,Rep. Laura Gillen pushes bill that would make staging car crashes for insurance money a federal crime,https://nypost.com/2026/09/03/us-news/rep-laura-gillen-pushes-to-make-orchestrated-car-crashes-for-insurance-fraud-a-federal-crime/,2026-09-03T13:00:04+00:00,0.00032080,0.106000,0.500000,0.00001700,84050.000000,,6,5,4,15,crime:0.55; government_leadership:0.25; inflation_cost_of_living:0.20,score_v2,ok,full_text,open,679,page_fetch,monthly visits / DIGITAL_ITEMS_PER_MONTH (already US-only (Semrush country split)); a visit is not a read; flat across the outlet's items (no per-item signal),"Article cites statistics (NICB data, insurance costs), quotes lawmaker, victim, and industry official. Gillen has moderate institutional authority as a House member; personal anecdote from Uber driver adds emotional weight, though overall tone remains measured, policy-focused reporting."
190,20b0b3ff93bd841a,The Megyn Kelly Show,podcast,en,The San Francisco 49ers NFL Player Hoax That Swindled Over a Million Dollars from Unsuspecting Women,https://www.megynkelly.com/2026/09/01/megyn-kelly-reacts-to-daejon-love-nfl-scam,2026-09-01T00:00:00+00:00,0.00316794,0.010000,0.533333,0.00001690,830000.000000,,7,4,5,16,crime:0.85; ai_technology:0.15,score_v2,ok,full_text,open,646,transcript_page,subscribers x PODCAST_EPISODE_VIEW_RATE x (1 + PODCAST_AUDIO_MULTIPLE) (UNADJUSTED: no public country split for this platform); flat across the outlet's items (no per-item signal),"Article details specific evidence: affidavit details, purchase records, victim accounts, official denials from NFL/49ers. No named authoritative narrator beyond outlet reporting; mentions Megyn Kelly segment. Emotional elements include victim testimony, threats, betrayal narrative."
191,bbbe8061addcf81c,Verdict with Ted Cruz,podcast,en,verdict-with-ted-cruz-1 / one-on-one-w-justice-clarence-thomas-part-2,https://omny.fm/shows/verdict-with-ted-cruz-1/one-on-one-w-justice-clarence-thomas-part-2,2026-08-26T07:40:00+00:00,0.00035191,0.071000,0.666667,0.00001666,92200.000000,,7,9,4,20,democracy_elections:0.55; race_relations:0.25; government_leadership:0.10; ethics_morality:0.10,score_v2,ok,full_text,open,359,rss_fulltext,subscribers x PODCAST_EPISODE_VIEW_RATE x (1 + PODCAST_AUDIO_MULTIPLE) (UNADJUSTED: no public country split for this platform); flat across the outlet's items (no per-item signal),"Substantive discussion of constitutional philosophy, precedent, and historical cases (Kelo, Reconstruction) with reasoning throughout. Ethos is very high given Thomas's Supreme Court authority and Cruz's political standing. Pathos moderate, driven by personal anecdotes about liberty and identity rather than overt emotional appeals."
192,78c7c03a58fb136a,Verdict with Ted Cruz,podcast,en,verdict-with-ted-cruz-1 / 8-29-26-saturday,https://omny.fm/shows/verdict-with-ted-cruz-1/8-29-26-saturday,2026-08-29T07:40:00+00:00,0.00035191,0.077500,0.600000,0.00001636,92200.000000,,4,8,6,18,democracy_elections:0.40; race_relations:0.25; ethics_morality:0.20; government_leadership:0.15,score_v2,ok,full_text,open,356,rss_fulltext,subscribers x PODCAST_EPISODE_VIEW_RATE x (1 + PODCAST_AUDIO_MULTIPLE) (UNADJUSTED: no public country split for this platform); flat across the outlet's items (no per-item signal),"A sitting senator discusses his biography of Clarence Thomas, offering biographical narrative and personal interview insights rather than rigorous argument. High ethos from Cruz's authority and personal access; moderate pathos from Thomas's poverty-to-power story and confirmation battle themes."
193,a0ba6041082fa188,The Guardian US,print_digital,en,Federal judge considers whether to extend ban on USPS mail ballot changes,https://www.theguardian.com/us-news/2026/sep/03/federal-judge-usps-mail-ballot-changes,2026-09-03T14:50:58+00:00,0.00034098,0.088500,0.533333,0.00001609,89337.500000,,8,5,3,16,democracy_elections:0.85; government_leadership:0.15,score_v2,ok,full_text,open,581,page_fetch,monthly visits / DIGITAL_ITEMS_PER_MONTH (already US-only (Semrush country split)); a visit is not a read; flat across the outlet's items (no per-item signal),"Detailed factual reporting on litigation timeline, legal arguments, whistleblower report, and operational specifics. No named strong personal-authority voice beyond quoted judge/lawyer; standard news outlet standing. Emotional tone restrained, mostly procedural with some urgency language ('70 days')."
194,7f361cb64ad36f83,Verdict with Ted Cruz,podcast,en,verdict-with-ted-cruz-1 / the-chinese-communists-caught-spending-big-bucks-trying-to-make-you-hate-data-centers-plus-trump-s-venezuela-oil-deal,https://omny.fm/shows/verdict-with-ted-cruz-1/the-chinese-communists-caught-spending-big-bucks-trying-to-make-you-hate-data-centers-plus-trump-s-venezuela-oil-deal,2026-08-31T07:40:00+00:00,0.00035191,0.098000,0.466667,0.00001609,92200.000000,,4,6,4,14,ai_technology:0.45; foreign_policy_wars:0.30; economy:0.25,score_v2,ok,full_text,open,384,rss_fulltext,subscribers x PODCAST_EPISODE_VIEW_RATE x (1 + PODCAST_AUDIO_MULTIPLE) (UNADJUSTED: no public country split for this platform); flat across the outlet's items (no per-item signal),"Podcast discussion with claims about Chinese bot farms, AI infrastructure, and Venezuela oil deal; some reasoning offered but largely assertion-driven. Cruz brings recognizable political authority and audience trust; moderate emotional framing around national security threats from China."
195,f5db47368a838785,Business Insider,print_digital,en,recession-outlook-warning-signs-us-consumer-spending-economy-gary-shilling-2026-9,https://www.businessinsider.com/recession-outlook-warning-signs-us-consumer-spending-economy-gary-shilling-2026-9,2026-09-03T16:46:18+00:00,0.00012739,0.210000,0.600000,0.00001605,33375.000000,,8,7,3,18,economy:0.50; inflation_cost_of_living:0.50,score_v2,ok,full_text,open,827,rss_fulltext,monthly visits / DIGITAL_ITEMS_PER_MONTH (already US-only (Semrush country split)); a visit is not a read; flat across the outlet's items (no per-item signal),"Data-heavy piece citing retail sales, consumer sentiment, debt, savings rates, and retailer performance from a named economist with strong credentials (dot-com, 2008 calls). Minimal emotional language; mostly statistical evidence supporting a recession forecast."
196,3e32018cb4af7456,NPR (npr.org),print_digital,en,"How will tariffs affect the midterms? In this Michigan border town, it's complicated",https://www.npr.org/2026/09/02/nx-s1-5947963/tariffs-tariffs-voters-michigan-upper-peninsula-trump,2026-09-02T09:00:00+00:00,0.00019590,0.169500,0.466667,0.00001550,51325.000000,,6,4,4,14,economy:0.40; inflation_cost_of_living:0.25; democracy_elections:0.20; foreign_policy_wars:0.15,score_v2,ok,full_text,open,1073,page_fetch,monthly visits / DIGITAL_ITEMS_PER_MONTH (already US-only (Semrush country split)); a visit is not a read; flat across the outlet's items (no per-item signal),"Report blends economic data (export figures, bridge traffic losses) with local voter interviews illustrating tariff impacts on midterms. No dominant authoritative voice; journalistic, moderately evidence-based, with some emotional color from personal frustration but largely measured tone."
197,135ba37aedc8c8e8,BBC News (US audience),print_digital,en,"Vance's Antichrist comments are a 'common belief', his friend tells BBC",https://www.bbc.co.uk/news/articles/cn4kwzr8gd9o?at_medium=RSS&at_campaign=rss,2026-09-03T13:07:02+00:00,0.00047772,0.080000,0.400000,0.00001529,125162.500000,,2,6,4,12,ethics_morality:0.65; government_leadership:0.20; other:0.15,score_v2,ok,full_text,open,522,page_fetch,monthly visits / DIGITAL_ITEMS_PER_MONTH (already US-only (Semrush country split)); a visit is not a read; flat across the outlet's items (no per-item signal),"Article reports Vance's religious remarks and a friend's defense, with little evidence or argument beyond assertion of common belief. Ethos derives from Vance's office and Dreher's insider connection; pathos moderate via apocalyptic, faith-driven language and cultural stakes."
198,ca58672fbc860fb8,BBC News (US audience),print_digital,en,"Feminist activist and journalist Gloria Steinem dies, aged 92",https://www.bbc.co.uk/news/articles/clyeq3ngwe4o?at_medium=RSS&at_campaign=rss,2026-09-03T18:04:34+00:00,0.00047772,0.068000,0.466667,0.00001516,125162.500000,,2,6,6,14,ethics_morality:0.35; abortion:0.25; other:0.25; government_leadership:0.15,score_v2,ok,full_text,open,760,page_fetch,monthly visits / DIGITAL_ITEMS_PER_MONTH (already US-only (Semrush country split)); a visit is not a read; flat across the outlet's items (no per-item signal),"An obituary recounting Steinem's life, activism, and tributes. Minimal argumentation—mostly biographical facts and quoted tributes. Ethos derives from her established public standing and quotes from prominent figures (Clinton, Markle). Pathos moderate via emotional tributes and reflections on her legacy."
199,72c11cd766c94c5a,New York Post,print_digital,en,Trump blocked again from restricting birthright citizenship by Biden judge: ‘Almost certainly unconstitutional’,https://nypost.com/2026/09/03/us-news/trump-blocked-again-from-restricting-birthright-citizenship/,2026-09-03T13:52:15+00:00,0.00032080,0.101000,0.466667,0.00001512,84050.000000,,6,5,3,14,immigration:0.55; democracy_elections:0.35; government_leadership:0.10,score_v2,ok,full_text,open,477,page_fetch,monthly visits / DIGITAL_ITEMS_PER_MONTH (already US-only (Semrush country split)); a visit is not a read; flat across the outlet's items (no per-item signal),"Reports legal ruling with quotes from judge's opinion, constitutional text, AG, and White House statements; factual news structure with some reasoning but no deep analysis. Named officials give moderate ethos; language like 'activist judge' adds mild emotional charge."
200,41fed8554b1ac011,Breaking Points,podcast,en,contracts / fulfillment_policy,https://breakingpoints.supercast.com/contracts/fulfillment_policy,,0.00159542,0.070000,0.133333,0.00001489,418000.000000,,2,2,0,4,other:1.00,score_v2,ok,full_text,open,333,homepage_fetch,subscribers x PODCAST_EPISODE_VIEW_RATE x (1 + PODCAST_AUDIO_MULTIPLE) (UNADJUSTED: no public country split for this platform); flat across the outlet's items (no per-item signal),"A purely informational policy document about subscription terms, cancellation, and refunds. No persuasive intent, argumentation, emotional appeal, or identifiable authoritative speaker addressing an audience; it's procedural/legal text unrelated to Gallup topic categories."
